"";"Id_plac";"X";"Y";"BDForet";"stratum";"Brin_taill";"pch.cl15.F";"pch.cl15.R";"perch.nv";"nb_arbre_175";"nb_arbre_175_F";"nb_arbre_175_R";"Brin_taill.norm";"pch.cl15.F.norm";"pch.cl15.R.norm";"perch.nv.norm";"perch.nv.F.norm";"perch.nv.R.norm";"nb_arbre";"comp_F_nb";"comp_R_nb";"comp_nb";"G175";"G175R";"G175F";"Gbt";"GpvR";"GpvF";"GpnvF";"GpnvR";"G75";"comp_F_G";"comp_R_G";"comp_G";"gini_diam_median";"lorenz_diam_median";"gini_diam_175";"lorenz_diam_175";"ratio";"petit_bois";"moyen_bois";"gros_bois";"tres_gros_bois";"gini_diam_rand";"lorenz_diam_rand";"gini_diam";"lorenz_diam";"density";"htot_moy";"htot_dom";"htot_Lorey";"volume_total";"volume_total_175";"volume_tige";"volume_tige_175";"gap_F";"rumple_index";"zmax";"zmean";"zsd";"zq5";"zq10";"zq15";"zq20";"zq25";"zq30";"zq35";"zq40";"zq45";"zq50";"zq55";"zq60";"zq65";"zq70";"zq75";"zq80";"zq85";"zq90";"zq95";"skewness_first";"kurtosis_first";"skewness_last";"kurtosis_last"
"93";"186_IRSTEA";938999,28;6526496,231;"Mixte";"Mixte";"5";"3";"3";"8";19;13;6;11;7;7;18;9;9;62;64,5161290322581;35,4838709677419;"Mixte";31,2947222222222;13,0891666666667;18,2055555555556;1,540125;0,924075;0,924075;1,2321;1,2321;37,1471972222222;58,9596448543186;41,0403551456813;"Mixte";0,290929323634785;1,21802921556602;0,23357361836109;0,988776384191804;0,693548387096774;75,8064516129032;19,3548387096774;3,2258064516129;1,61290322580645;0,339604410125119;1,20164304605037;0,339604410125119;1,20164304605037;877,120575262001;13,7419111892674;26,4886641220248;15,0553868756706;29,0452887177389;26,9651104884975;27,2983201390932;25,2181419098518;0,0389210019267823;3,38357154282683;35,4;20,0174949557659;3,81498373462654;11,5415;13,16;14,11;14,906;15,66;16,26;16,8;17,3;17,79;18,325;18,83;19,34;19,83;20,35;20,93;21,63;22,46;23,46;25,1385;0,382302017263955;3,86084810285628;0,0937585381718474;3,29875930978495
"94";"188_IRSTEA";943001,022;6526500,672;"Mixte";"Mixte";"2";"1";"3";"0";21;8;13;4;2;7;0;0;0;34;41,1764705882353;58,8235294117647;"Mixte";28,7452777777778;17,5;11,2452777777778;0,61605;0,924075;0,308025;0;0;30,5934277777778;39,7776701132433;60,2223298867567;"Mixte";0,287843956809474;0,831999761364992;0,175194346289753;0,957313755049386;0,382352941176471;50;44,1176470588235;5,88235294117647;0;0,282333795844254;0,849117392775619;0,287843956809474;0,831999761364992;481,001605788839;17,2105551989838;25,7392616369469;22,467017240577;22,7909645719546;22,1790077760381;21,6604289567759;21,0484721608595;0,0844578993278259;4,13328458860084;33,01;19,9101911622108;5,5643823060921;7,57;9,69;11,46;12,78;13,86;15,04;15,99;17,018;17,87;18,62;19,4;20,122;20,94;21,67;22,37;23,19;24,12;25,2;27,039;-0,426211261311501;2,73756351087179;-0,179019065710804;2,31866287147851
"95";"189_IRSTEA";943997,776;6526499,863;"Mixte";"Mixte";"0";"0";"0";"1";19;16;3;0;0;0;2;1;1;21;80,9523809523809;19,047619047619;"Feuillus";40,7969444444444;6,20055555555556;34,5963888888889;0;0;0;0,1369;0,1369;41,0707444444444;84,5694164026462;15,4305835973538;"Feuillus";0,206306306306306;0,903575684528065;0,157894736842105;0,902373581011352;0,0952380952380952;14,2857142857143;47,6190476190476;38,0952380952381;0;0,217119301648885;0,880315455204606;0,206306306306306;0,903575684528065;297,089227104871;23,2901971572138;28,1911086087063;25,5885272097708;39,2608454909729;39,1660959965178;35,3751717706034;35,2804222761483;0,0358316382412768;2,32189229762873;39,44;31,9482289496262;3,70782294037037;20,9325;23,795;25,36;26,5;27,46;28,23;28,89;29,47;29,99;30,49;30,96;31,45;31,92;32,5;33,16;33,87;34,59;35,41;36,41;-1,13286943524714;6,17371253984476;-0,908133000563758;4,19131625911105
"96";"19_IRSTEA";934000,447;6503500,211;"Feuillus";"Feuillus";"14";"0";"0";"5";40;40;0;32;0;0;11;11;0;83;100;0;"Feuillus";27,8636111111111;0;27,8636111111111;4,31235;0;0;1,5059;0;33,6818611111111;100;0;"Feuillus";0,203861520121146;0,974768181925391;0,126550868486352;1,21569132424475;0,518072289156627;75,9036144578313;24,0963855421687;0;0;0,2431475771395;0,881495089384645;0,203861520121146;0,974768181925391;1174,20980236687;13,9498350492373;21,5117441493069;16,1821509321325;21,0120144650332;18,8065588584619;19,4142606471612;17,2088050405898;0,017717206132879;2,25212975483418;26,55;21,3811851851852;1,95418028926883;17,391;18,62;19,113;19,37;19,64;19,86;20,12;20,438;20,739;21,08;21,46;21,76;22,11;22,47;22,81;23,17;23,53;23,94;24,55;0,0254120468361822;2,41412771603574;-0,988499137066535;6,37468094023924
"97";"190_IRSTEA";945002,053;6526497,316;"Mixte";"Mixte";"3";"7";"0";"6";34;29;5;7;16;0;14;7;7;71;83,0985915492958;16,9014084507042;"Feuillus";27,5461111111111;5,86944444444444;21,6766666666667;0,924075;0;2,156175;0,9583;0,9583;32,5429611111111;79,0192895442657;20,9807104557343;"Feuillus";0,223188558762995;0,974934938747926;0,132775567119002;1,02861030528274;0,52112676056338;67,6056338028169;30,9859154929577;1,40845070422535;0;0,246034787735849;0,977742335958349;0,223188558762995;0,974934938747926;1004,44452973552;14,6536403898376;22,0594571660272;17,6298985037399;21,6238675922972;19,7809588299223;20,2440049273813;18,4010961650064;0,0303834096937545;2,28448811720825;28,42;22,6067518977227;2,04210939284544;15,61;17,263;18,22;18,92;19,48;19,97;20,4;20,79;21,16;21,5;21,8;22,11;22,46;22,81;23,2;23,57;24;24,46;25,06;-0,654614322110415;4,56470776489771;-0,922508748554194;4,45559431605314
"98";"191_IRSTEA";947999,587;6526498,486;"Mixte";"Mixte";"6";"4";"2";"2";5;1;4;14;9;4;4;2;2;36;72,2222222222222;27,7777777777778;"Mixte";4,98583333333333;4,49583333333333;0,49;1,84815;0,61605;1,2321;0,2738;0,2738;9,22973333333333;41,6485488927091;58,3514511072909;"Mixte";0,131275607757443;1,62202797615481;0,25830258302583;1,49419225717681;0,861111111111111;94,4444444444444;2,77777777777778;2,77777777777778;0;0,223667585093652;1,23142781638057;0,223667585093652;1,23142781638057;509,295817894065;11,8405538178402;15,2167058642593;12,1174663829796;4,45292143093508;2,90992082409168;4,37909053460815;2,83608992776475;0,619589222614841;2,86939105081555;14,66;7,18290238611714;1,6528126789827;5,16;5,31;5,46;5,6;5,76;5,938;6,081;6,264;6,44;6,61;6,81;7,02;7,27;7,51;7,79;8,1;8,48;9,02;10,257;1,24974245548858;4,77632389681275;1,53908549301692;6,03213255602499
"99";"192_IRSTEA";939000,557;6527495,81;"Mixte";"Mixte";"9";"5";"1";"5";21;21;0;20;11;2;11;6;5;65;89,2307692307692;10,7692307692308;"Feuillus";17,3969444444444;0;17,3969444444444;2,772225;0,308025;1,540125;0,8214;0,6845;23,5232194444444;95,7806583306164;4,21934166938364;"Feuillus";0,205415539016689;1,19927184019617;0,138675022381379;0,842487114213038;0,676923076923077;80;20;0;0;0,247780651083647;1,17949054981998;0,247780651083647;1,17949054981998;919,56189341984;13,8169273264973;21,9724808743908;15,1115833193562;15,4163722915471;13,2144358722885;14,377115232073;12,1751788128144;0,127805427739694;3,5415831434576;29,79;20,9416197623515;5,48536069707293;7,02;9,17;11,35;13,89;15,47;16,79;18,13;19,12;19,88;20,5;21,14;21,72;22,24;22,76;23,27;23,76;24,3;24,92;25,88;-1,37077525672824;4,08393164479519;-0,574070740652407;2,26219520287615
"100";"193_IRSTEA";940011,902;6527497,972;"Mixte";"Mixte";"3";"0";"3";"2";26;13;13;7;0;7;4;2;2;44;50;50;"Mixte";54,6658333333333;35,1011111111111;19,5647222222222;0,924075;0,924075;0;0,2738;0,2738;57,0615833333333;36,3862970659867;63,6137029340133;"Mixte";0,343156675983465;0,927066055430726;0,216105610561056;0,859276528878585;0,409090909090909;47,7272727272727;36,3636363636364;13,6363636363636;2,27272727272727;0,346893224854201;0,931859759997953;0,343156675983465;0,927066055430726;622,472666314968;18,2670987101747;30,6145886773473;23,7348689559364;50,8551555331217;50,0024100830259;48,4798061926774;47,6270607425817;0,0598386956898795;2,74484216165189;30,33;21,1901;3,63476293266701;11,061;13,26;14,7;15,68;16,56;17,31;17,93;18,56;19,22;19,85;20,4;20,9;21,43;22,01;22,67;23,36;24,06;24,84;25,74;-0,515818191586552;3,42000523066433;-0,499170356212813;2,87967702401707
"101";"194_IRSTEA";948003,718;6527506,42;"Mixte";"Mixte";"7";"3";"0";"5";29;18;11;16;7;0;11;6;5;63;74,6031746031746;25,3968253968254;"Mixte";20,9447222222222;10,2002777777778;10,7444444444444;2,156175;0;0,924075;0,8214;0,6845;25,5308722222222;57,366212626674;42,633787373326;"Mixte";0,210475047645938;1,07419883748945;0,141314086610254;1,12122742545584;0,53968253968254;76,1904761904762;23,8095238095238;0;0;0,243381398170777;1,06950937351041;0,210475047645938;1,07419883748945;891,267681314614;14,0543143850033;21,6973959209662;16,3588469754218;15,1202297398273;13,4155303010934;14,5464780028376;12,8417785641037;0,146588292328203;2,68369765953228;25,39;17,3893126901736;3,00511963682614;8,782;10,43;11,62;12,45;13,18;13,76;14,26;14,79;15,29;15,76;16,27;16,71;17,14;17,54;17,98;18,49;19,184;19,97;21,08;-0,403454761676746;3,40372029229952;-0,0798134280962909;2,53667860721741
"102";"195_73_ONF";952409,2807;6512826,666;"Sapin, épicéa";"Coniferes";"0";"0";"0";"0";16;0;16;0;0;0;0;0;0;16;0;100;"Resineux";42,4486111111111;42,4486111111111;0;0;0;0;0;0;42,4486111111111;0;100;"Resineux";0,122678843226788;1,05236326122915;0,122678843226788;1,05236326122915;0;0;50;50;0;0,122678843226788;1,05236326122915;0,122678843226788;1,05236326122915;226,353696841807;26,8402743479666;30,2183433204779;26,9586976947578;34,2505972588367;34,2505972588367;33,7444741371922;33,7444741371922;0,229696472518458;5,83238943281955;30,84;18,4499615912209;6,12309979024795;6,6;7,82;9,5925;11,01;12,42;13,83;14,81;15,73;16,6975;17,51;18,66;19,58;20,4375;21,38;22,1825;23,1;24,27;25,39;26,78;-0,374970225358119;2,30865322641638;-0,320428880775808;2,27577695109918
